hash,time,message
72f2205,2009-08-28 20:26:54,Completed preliminary CUDA implementation of PME
03a0a0d,2009-08-28 22:50:09,
29d3e54,2009-08-28 23:21:11,Very early stages of optimizing PME
ec81ab8,2009-09-01 15:22:59,Wrap cmake policy settings in additional layer of if(POLICY ...).
8ed6bfc,2009-09-01 22:11:50,fixed write up reagrding version 2.2
3638f24,2009-09-01 22:12:07,fixed write up reagrding version 2.2
125e52a,2009-09-01 23:49:45,Optimizations for PME
c0183d1,2009-09-02 18:39:45,Yet another layer of cmake policy wrapping to avoid trouble with cmake 2.4.5 on Linux
59be342,2009-09-02 20:28:58,Now cmake 2.4.6 will not barf on CMakeLists.txt
68ec5df,2009-09-03 00:26:23,Implemented a new (much faster) charge spreading algorithm for PME
f92c61b,2009-09-03 18:15:39,"Work around two different ""PI"" finding problems on Windows XP with Visual Studio Express 9 (2008)"
2414814,2009-09-03 19:45:59,Optimizations to PME direct space calculation.  Also added code for PME with GBSA.
dc677fa,2009-09-08 22:58:30,Optimizations to PME.
d5cc0fb,2009-09-09 00:49:53,Reduced memory use for PME.
5ada4eb,2009-09-09 18:07:07,Bug fix.
dc91a24,2009-09-09 23:05:06,Bug fix.
20d8776,2009-09-09 23:55:33,Minor bug fix
d5bbd1f,2009-09-10 22:09:32,Revised method for selecting the PME mesh spacing
39ca36e,2009-09-11 21:22:26,Bug fix.
77f2d93,2009-09-11 23:01:51,Optimized CUDA implementation of CustomNonbondedForce
15811b7,2009-09-12 00:46:43,Periodic box size is specified by System rather than NonbondedForce
437ca02,2009-09-17 18:20:17,Very beginnings of support for OpenCL
b3781c2,2009-09-18 23:18:00,Continuing implementation of OpenCL platform
25af59f,2009-09-19 00:46:24,Restructured how force and energy computations are done to make it easier to write plugins for the CUDA platform
68ef42c,2009-09-21 13:49:39,New tests for Ewald and PME on both Reference and Cuda platforms.
fd64ac9,2009-09-21 17:23:44,Ewald method potential is now compared to the exact value of the Madelung energy.
21d6707,2009-09-21 18:03:39,Fixed a typo in Madelung energy formula.
f5aebbd,2009-09-22 19:59:01,Eliminated Stream and related classes  replacing their functionality with UpdateStateDataKernel.
afbf885,2009-09-23 17:43:01,Changes to support compilation on Snow Leopard
dca7d33,2009-09-23 18:49:38,Minor optimization
ad4e120,2009-09-24 20:41:14,Continuing implementation of OpenCL platform.
9532c44,2009-09-24 21:15:11,Select the fastest OpenCL device automatically
0634e3c,2009-09-25 00:09:32,Created OpenCL implementations of HarmonicBondForce  HarmonicAngleForce  and PeriodicTorsionForce.
3d6e98d,2009-09-25 00:42:17,Fixed errors under AMD's OpenCL
695c066,2009-09-25 18:34:08,Created OpenCL implementation of RBTorsionForce.
efc1083,2009-09-25 23:56:37,Created OpenCL implementations of VerletIntegrator and SHAKE.
ebbc40e,2009-09-29 22:04:30,Created OpenCL implementations of SETTLE and LangevinIntegrator (not yet fully debugged).
d4d5e5c,2009-09-29 23:18:52,Bug fix
4c48943,2009-09-30 00:16:08,Bug fixes and simplifications to integration
3976ad9,2009-10-01 00:47:59,Began implementing nonbonded forces
ed1fb19,2009-10-01 21:30:21,Continuing implementation of nonbonded forces
d95e723,2009-10-04 09:21:53,Updated the Ewald/PME tests.
c312542,2009-10-06 00:44:47,Continuing implementation of nonbonded forces
d70147d,2009-10-06 19:27:10,Implemented cutoffs and periodic boundary conditions
072fc12,2009-10-06 21:19:20,Refactored nonbonded kernel to allow the same code to be used for other forces
1acb7fa,2009-10-06 21:29:18,Minor improvements to speed and accuracy
537221a,2009-10-06 22:55:15,Fixed a problem under Nvidia's OpenCL implementation
6b0b0a2,2009-10-07 15:03:37,New test systems for Ewald/PME methods.
a8e9c99,2009-10-08 20:02:28,Finished implementing cutoffs and periodic boundary conditions
fe14475,2009-10-08 20:02:48,Bug fix
efac00c,2009-10-08 23:10:58,Fixed a compilation error
ffab317,2009-10-10 00:37:09,Began OpenCL implementation of GBSA
71d5992,2009-10-13 12:03:44,Comparison of the forces in the Ewald/PME reference tests is disabled by default. If set  they are compared to the double precision output from Gromacs.
2a465d4,2009-10-14 00:56:57,Finished OpenCL implementation of GBSA (not yet fully debugged)
d3ec1d0,2009-10-15 00:15:37,Bug fixes to GBSA
d65992e,2009-10-19 23:08:51,Optimized nonbonded kernels by inlining lots of constant quantities
2529b92,2009-10-19 23:15:14,Bug fix
e43f14b,2009-10-21 20:44:34,Created OpenCL implementation of NonbondedForce that works with non-Nvidia processors
7e9cf94,2009-10-22 18:35:00,Fixed an error on AMD's OpenCL implementation
b5eda39,2009-10-23 00:24:52,Implemented new method for selecting Ewald and PME parameters
a5a368d,2009-10-23 18:29:35,Bug fixes
79c04ef,2009-10-23 20:37:49,Fixed memory leak
014f340,2009-10-23 20:42:17,Changed PME interpolation order to 5
aa96846,2009-10-24 01:02:33,Created OpenCL implementation of Ewald
f0cab87,2009-10-24 01:03:17,Changed default value for Ewald error tolerance
95e059d,2009-10-28 00:04:05,Created OpenCL implementation of GBSAOBCForce that works with non-Nvidia processors
53b4e66,2009-10-28 00:08:02,Fixed compilation error under Windows
394d29a,2009-10-28 00:24:18,Fixed compilation warnings under Windows
986d88a,2009-10-28 00:42:31,Increased tolerance on test cases that failed intermittently
c3af8f4,2009-10-28 19:28:22,Fixed compilation errors and warnings under Windows
b91c396,2009-10-29 19:18:37,Fixed a compilation error under Windows
df51e65,2009-10-30 00:55:51,Added an optimization
20943ac,2009-10-30 00:56:34,Added test case for Parser
84d482e,2009-10-30 01:00:29,Began OpenCL implementation of CustomNonbondedForce
3d2b90b,2009-10-30 17:09:40,Fixed a compilation error under Windows
2127b8d,2009-10-30 22:44:32,
72d59cb,2009-11-02 21:23:22,Finished OpenCL implementation of CustomNonbondedForce.  Also implemented a few optimizations.
48d9389,2009-11-03 18:52:49,A few optimizations.  Also added a new test case.
43ebedf,2009-11-03 19:45:59,Added support for sinh()  cosh()  and tanh() functions.
7a36f46,2009-11-03 20:12:04,dded GB/VI to Cuda platform Free energy plugin added Plugin will not run w/ Obc or GB/VI forces unless line 2004 of gpu.cpp (gpu->sim.totalNonbondOutputBuffers  = 2*gpu->sim.nonbondOutputBuffers ) is commented in -- working on removing this constraint Also unit tests for GB/VI currently fail
b0115d7,2009-11-03 20:21:46,Missing pGBVIData
29cf150,2009-11-03 20:31:22,Missing files
f704ac0,2009-11-03 20:33:40,Another missing file
783c211,2009-11-03 20:34:53,Missing file
6ac1a3c,2009-11-03 20:38:21,Missing file
62433ab,2009-11-03 20:51:50,Added toggle for FreeEnergy plugin tests
bdc4754,2009-11-03 21:46:18,Removed annoying message
fb24990,2009-11-03 23:37:07,Fixes to make Windows happier
32f5e1d,2009-11-04 20:35:26,Minor code simplification
6913676,2009-11-04 20:37:08,Minor optimization
1902a13,2009-11-04 20:50:49,Fixed GB/VI test
eeb9484,2009-11-04 20:51:13,Removed warnings if number of particles == 1
9b6ddf4,2009-11-04 21:09:51,GB/VI test for Cuda platform
f239167,2009-11-05 01:51:24,Created OpenCL implementation of CMMotionRemover.  Also made a few optimizations.
917a39c,2009-11-05 19:18:35,Missing registerKernelFactory() call for GB/VI force
50f8b9f,2009-11-06 00:02:41,Added TestReferenceGBVISoftcoreForce and repaired TestCudaGBVISoftcoreForce Removed print cruft
3cf5495,2009-11-06 01:38:31,Created (not yet fully debugged) OpenCL implementation of VariableVerletIntegrator and VariableLangevinIntegrator.
de04cdb,2009-11-06 01:53:27,Bug fix
13d8975,2009-11-06 01:55:41,Fixed compilation error on AMD's OpenCL implementation
cc5467e,2009-11-06 21:40:15,Created OpenCL implementations of AndersenThermostat and BrownianIntegrator.  Also fixed some bugs.
8365ded,2009-11-07 00:57:07,Fixed two bugs
c9e927a,2009-11-09 20:40:19,Softcore factor multiplying LJ eps is now lambda^4 instead of lambda^1 Removed references to softCoreLJLambda in NonbondedSoftcoreForce
0d42a18,2009-11-09 22:47:37,NonPolarPrefactor for GBSA OBC was missing for CudaPlatform
6d1814a,2009-11-09 23:39:25,Added ReferenceFreeEnergyPlatform & CudaFreeEnergyPlatform
aa4f6c6,2009-11-09 23:59:06,Bug fix
f3aa6be,2009-11-10 02:02:38,Added missing kReduceObcGbsaSoftcoreBornForces
3eb561a,2009-11-10 21:40:03,Created CustomBondForce  along with the reference implementation
1f6802f,2009-11-10 22:22:57,Created OpenCL implementation of CustomBondForce
dc55652,2009-11-11 01:48:07,Created CustomExternalForce  along with the reference implementation
20e2483,2009-11-11 18:30:51,Fixed a broken test case
67b261f,2009-11-11 19:15:52,Created OpenCL implementation of CustomExternalForce.  Also fixed a bug.
7b89b1b,2009-11-11 20:34:58,Mods to remove requirement that nonbonded force buffer size should be doubled for GB/VI and OBC
29fa087,2009-11-11 20:35:38,Inactivate diagnostic
e09764b,2009-11-11 20:37:30,Remove doubling of nonbonded buffers for OBC & GB/VI
e1a7bc3,2009-11-11 22:21:36,Added support for subexpressions
d0ce27f,2009-11-12 01:14:21,Optimization to evaluating tabulated functions
1e52c49,2009-11-12 01:50:58,Optimization to evaluating integral powers in custom expressions
45cbddc,2009-11-12 20:46:10,gpuSetObcSoftcoreParameters was not returning GpuObcGbsaSoftcore reference
c3c6724,2009-11-12 22:31:03,"Removed reference to srand()/rand() due to thread-safety concerns  replaced w/ the ""KISS"" (Keep It Simple Stupid) random number generator implemented in rng.h & rng.cpp"
0d29e96,2009-11-12 22:41:32,Initialized prevTemp  prevFriction   prevStepSize
0a38a82,2009-11-12 22:45:46,Set private entries for integrators
0de2ac8,2009-11-12 23:41:27,Disabled building static library for CUDA plugin
bcbd7dc,2009-11-12 23:51:53,Created CUDA implementation of CustomBondForce
37b2436,2009-11-13 00:24:34,Eliminated use of rand() and srand()  which are not thread safe
70015b7,2009-11-17 21:06:08,Redesigned CustomNonbondedForce to eliminate combining rules and allow the expression to directly use parameters for individual particles.
fd767c3,2009-11-17 21:53:12,Units of nonPolarPrefactor are now kJ/mol/nm^2 (were kcal/mol/A^2) Changed ReferenceFreeEnergyPlatform name to ReferenceFreeEnergy Removed references to ParameterFileName in GB/VI
20b0264,2009-11-17 22:20:53,Put more reasonable tolerances into test case for random number generator
77d3b64,2009-11-17 23:10:49,Created CUDA implementation of CustomExternalForce
7ca951d,2009-11-18 00:40:33,Removed reference to cudaKernels.h
9535bef,2009-11-18 00:50:07,Added #include <typeinfo> to see if it removes errors associated w/ std::bad_cast on Linux Ubuntu 4.3.2
c4b8ba2,2009-11-18 01:24:15,Change double to RealOpenMM to remove build warnings
35daf78,2009-11-18 01:51:42,Mods to get rng to compile on Windows
0d19a61,2009-11-18 02:05:38,Mods to get rng to compile on Linux
b801983,2009-11-18 02:12:07,Mods for Windows
b321a75,2009-11-18 02:20:36,Clean up to remove warning
8a1641f,2009-11-18 18:48:11,Custom forces in OpenCL platform support an unlimited number of parameters
1589964,2009-11-18 19:06:39,Fixed compilation errors under Windows
a170606,2009-11-18 20:03:46,Fixed some Valgrind warnings
cf7d986,2009-11-18 21:37:38,Reference platform no longer premultiplies charges by sqrt(1/4*pi*eps0).
98c2685,2009-11-18 22:44:23,Mods to get Free energy plugin libs to compile on Windows  still problem w/ kCalculateLocalSoftcoreForces.cu and hence OpenMMFreeEnergyCuda lib
e6bd843,2009-11-18 23:01:56,Added extern' to SetCalculateLocalSoftcoreGpuSim definition
8fc504e,2009-11-19 00:58:06,Missing include file
d80ba38,2009-11-19 02:42:06,Activated static tests Fixed bug: was calling kReduceObcGbsaSoftcoreBornForces instead of kReduceGBVISoftcoreBornForces in GB/VI force calculation
8428a88,2009-11-19 02:43:17,Inactivated static tests
c90f2f8,2009-11-19 18:59:27,CMake changes to permit more clever selection of what to build. So nightly builds can build CUDA and API wrappers when prerequisites are present. While still being gentle on third party cmake builders. New cmake_modules directory contains FindCUDA.cmake from cmake 2.8.0  and Find OpenCL.cmake from platforms/OpenCL directory.
75bbd63,2009-11-19 19:23:20,Change capitalization of FindOpenCL.cmake to match original file. Turn on free energy plugin by default. Better rule for when to default build OpenMM wrappers. Several tweaks to advanced vs. non-advanced cmake variables.
2f81944,2009-11-19 20:45:53,Implemented step function in custom expressions
c3ba691,2009-11-19 21:32:14,Fixed a memory leak
fa818ff,2009-11-19 21:32:44,Fixed compilation warnings under Windows
87815e8,2009-11-19 21:42:28,Fixed an overly strict tolerance in a test case
cd41810,2009-11-19 21:44:28,Added a newline at the end of the file to make the compiler stop complaining
6186c06,2009-11-19 22:10:25,Fixed compiler warnings
dceb3d3,2009-11-19 22:29:31,Updated Doxygen comments
055e308,2009-11-20 18:07:42,CMake hacks to avoid serious errors when parsing CMakeLists.txt on Dart server with Cmake 2.4
c0ad3f0,2009-11-20 18:23:32,Improved display of expressions when printing them to a stream
ab09b52,2009-11-20 23:19:34,bornRadiusScaleFactors were not included in second GB/VI force loop removed some cruft
4cbb82d,2009-11-23 20:49:09,Added some optimizations
248a01f,2009-11-23 22:04:31,Library to check that forces agree across platforms
e8a4c50,2009-11-23 22:08:16,Added libraries/validate
4112ece,2009-11-23 22:41:34,Mods to get validation code to compile on windows
ca21532,2009-11-23 22:45:54,Mods to remove VC 8 warnings
3d72665,2009-11-24 00:20:46,Turn on free energy plugin by default Set NVCC_FLAGS to particular value in new cmake_modules/FindCUDA.cmake
b5edab6,2009-11-24 01:55:52,Preliminary implementation of CustomGBForce
bdc71cd,2009-11-24 22:59:55,Added some optimizations
4747b0f,2009-11-25 19:39:28,Continuing implementation of CustomGBForce
3a6d79b,2009-11-25 21:41:22,Finished reference implementation of CustomGBForce
cfcebe2,2009-11-25 23:02:52,Added a version of Platform::getPlatform() that looks up platforms by name.  Added a Context constructor that allows platform-specific properties to be specified.
d9e73e4,2009-11-25 23:27:38,Hack particular gccxml location for one particular nightly build machine. Incorporate Normal Mode Langevin openmm code from Chris Sweet as a plugin.  (compiles on windows  but no actual testing done)
9904545,2009-11-25 23:42:45,TestNormalModeLangevin now returns 1 on failure  instead of unhandled exception.
6e543d2,2009-11-25 23:43:36,Fixed compilation errors
3f9a1d9,2009-11-26 00:00:21,Removal of ReferenceFreeEnergyPlatform
844a0bf,2009-11-26 00:00:58,Removal of CudaFreeEnergyPlatform
ffc44a9,2009-11-26 00:01:11,Removal of CudaFreeEnergyPlatform
2cdb14e,2009-11-26 00:45:49,Improved capitalization in FindOpenCL.cmake  so QUIET keyword will be respected Reorganized platform analysis in NML init method. Failed attempt to get OPENMM_PLUGIN_DIR working for NML test.
959869f,2009-11-27 00:49:42,Removed routines to copy forces: Peter pointed out a shallow copy using copy constructors is sufficient
40f67e3,2009-11-30 22:14:25,NML cmake install change to avoid cmake error on linux.
98111cd,2009-12-01 00:37:57,"Avoid link error with TestNormalModeLangevin by linking to ${SHARED_TARGET} instead of to ""OpenMM"""
cffb927,2009-12-01 15:39:48,Change link line for NML plugin in response to nightly build failures.
61eed80,2009-12-01 19:09:49,Added magical cmake incantation to avoid TestNormalModeLangevin not found error. (It still *fails*  but at least it is found)
3294600,2009-12-01 19:38:12,Changed how plugin initialization is done to avoid initialization order problems
ab31a17,2009-12-01 19:47:48,Renamed getPlatform() to getPlatformByName()
6b088a6,2009-12-01 20:33:24,Renamed getPlatform() to getPlatformByName()
f46ebaf,2009-12-01 21:37:21,Fixed a compilation error under Linux
832b8a4,2009-12-01 22:04:04,NML loading sanity test gets much farther on Linux  but still fails
535710e,2009-12-01 22:26:14,Fixed a compilation error under Windows
732eaf7,2009-12-02 16:21:24,NML plugin loading test passes on Windows.
339cb64,2009-12-02 17:26:09,TestNormalModeLangevin now passes for both Release and Debug on Linux
e1b9275,2009-12-02 18:11:58,Reworked plugin initialization again to remove non-threadsafe behavior
60c8ebf,2009-12-02 19:36:47,Removed exit() in ValidateOpenMM::writeParameterFile Changed format from %u to %zu for size_t entries
19c403f,2009-12-03 18:14:07,Fixed plugin initialization for CUDA free energy plugin
8f017de,2009-12-03 19:51:58,Modified softcore equation to conform w/ Shirts and Pande  JCP 122:134508  2005. Removed cruft from Cmake file Modified the way platform is specified in TstFreeEnergyCudaUsingParameterFile.cpp
065e084,2009-12-03 20:49:52,Replace Platform::getPlatform by Platform::getPlatformByName where necessary  due to recently changed interface.
608dad3,2009-12-04 17:10:20,windows export macro on ReferenceFreeEnergyKernelFactory  to avoid link error on TestReferenceGBVISoftcoreForce
ab675f4,2009-12-04 18:24:26,Don't automatically build API wrappers if cmake version is 2.4
b0e45e8,2009-12-04 18:49:47,Edits to address potential thread-safety issues: Removed static variables in CudaFreeEnergyKernels.cpp Moved declaration of global feSim to within method where actually used  in kCalculateNonbondedSoftcore.cu
7ded64b,2009-12-05 00:41:01,Bug fix
51fc3bd,2009-12-05 00:54:47,Beginnings of OpenCL implementation of CustomGBForce
a966a98,2009-12-05 01:47:54,Continuing OpenCL implementation of CustomGBForce
9ed2c87,2009-12-08 19:54:57,Continuing OpenCL implementation of CustomGBForce
7eec493,2009-12-09 01:38:28,Continuing OpenCL implementation of CustomGBForce
bed943b,2009-12-09 19:15:21,Increased the allowed size of custom expressions.  Also fixed one failing test case.
09777f8,2009-12-10 01:35:43,Continuing OpenCL implementation of CustomGBForce
f11a6ae,2009-12-10 19:08:10,Fixed bugs in OpenCL implementation of CustomGBForce
803b867,2009-12-10 21:38:39,Optimizations to expression processing in CustomGBForce
15a9201,2009-12-11 00:02:04,Fixed errors in API wrapper generation
3f24831,2009-12-11 01:12:07,Hopefully improved the accuracy of torsion calculations
2f92193,2009-12-11 01:31:23,Fixed compilation warnings on Windows
042ab1a,2009-12-11 22:33:48,Use a consistent (and more accurate) value for electric constant everywhere.  Also cleaned up handling of constants and units in various places.
38f8b69,2009-12-11 23:44:16,Fixed bug in wrapping references to enumerations
7d70c82,2009-12-15 18:41:37,Default to build OpenCL only on Mac for now
1e216bb,2009-12-15 20:01:28,Improved accuracy of torsions for small angles in CUDA and OpenCL platforms
d21bf41,2009-12-16 22:51:13,Fixed uninitialized value problem with setting box vectors.  This caused sporadic multithreading issues on Linux platforms.
7901ce2,2009-12-17 21:07:28,Implementing FFT for OpenCL
8316aba,2009-12-17 22:54:23,Completed OpenCL FFT
3e0925f,2009-12-18 01:36:21,Bug fixes
c5c8abd,2009-12-18 18:38:24,Fixed memory errors reported by Valgrind
48acdae,2009-12-18 19:54:53,Fixed compilation warnings on Windows
d837b44,2009-12-18 21:55:33,Fixed problems finding OpenCL location
985da46,2009-12-19 01:57:26,Created non-Nvidia-specific kernels for CustomGBForce (not yet fully debugged)
84819ed,2009-12-22 03:01:41,Patched large memory leak in Context cleanup for OpenCL platform.
bd9b78b,2009-12-23 23:48:24,Fixed compilation errors under Windows
8af0ac1,2010-01-04 23:42:32,Fixed bugs in OpenCL CustomGBForce
5c24a61,2010-01-05 00:33:08,erf() and erfc() can appear in expressions
a46c15a,2010-01-05 01:33:26,Improvements to Doxygen generation
c553fe6,2010-01-05 21:01:00,Updated doxygen comments to reflect that erf() and erfc() can appear in expressions
5353984,2010-01-05 23:18:35,Fixed compilation warnings under Windows
a39126a,2010-01-06 00:40:18,Fixed compilation warnings under Windows
d8d7075,2010-01-06 22:58:44,Updated Doxygen comments to specify units in a more consistent way
4a6d553,2010-01-07 19:42:25,Updated Users Guide for version 1.0.
211042a,2010-01-09 00:40:39,Add updated platform support for the Khronos approved ICD model so AMD and newer Nvidia drivers on Windows/Linux will work.  Haven't tested Apple
172d41e,2010-01-09 01:26:23,Can't use 'cross' as a variable name since that is a builtin function name
f38f956,2010-01-12 00:46:00,Fix for calculation of RB angle
6bbef60,2010-01-12 00:51:02,OpenCL kernels are now stored into a C++ class at build time rather than installing them as text files.
82e0bd2,2010-01-12 01:14:05,Added average delta to output
6ccf616,2010-01-12 19:34:50,Removed Brook platform
3f315a1,2010-01-12 21:37:21,Throw an exception if the user tries to use PME on OpenCL
199e3e3,2010-01-13 00:12:50,Incorporate apple-specific OpenCL include directory from the other FindOpenCL.cmake in the platforms/opencl CMakeLists.txt file. TODO - in future use only one FindOpenCL.cmake file.
1980f05,2010-01-13 00:41:50,Rename Obc force to be consistent w/ manual name
074f6b3,2010-01-13 00:48:24,Fixed an incorrect hardcoded path.
030ef27,2010-01-13 18:22:04,Remove unused methods
a163706,2010-01-13 19:54:50,cudaThreadExit() was not being called  which caused failures on some platforms
dec115d,2010-01-13 20:00:34,Fixed a compilation error under Linux
ebfcfe2,2010-01-13 20:01:22,Don't test for interaction flags on platforms where we don't use them.
7c35e41,2010-01-13 20:54:52,Another attempt at getting device selection to work correctly on all platforms
cc85996,2010-01-13 23:46:52,Updated Validation Section and added GBVI theory section
1e8f150,2010-01-14 00:31:09,Minor additions and corrections to the manual
347c5d8,2010-01-14 21:18:30,Updated manual for Lepton 1.1.
390b73f,2010-01-14 21:19:01,Added computation  of average relative delta
5403605,2010-01-14 22:28:54,Redid GBVI equations  redid Table 8.1
36e64c6,2010-01-14 23:22:57,Added tips for building from source on Snow Leopard Macs
3631f89,2010-01-15 01:27:11,Updated Tables 8.3 and 8.4
b14289a,2010-01-15 01:30:57,Updated table of contents
4bfeb73,2010-01-15 01:39:28,Created PDF versions of OpenMM and Lepton manuals
0f672ff,2010-01-15 01:41:06,Fixed incorrect date in Lepton manual
3f11ad2,2010-01-16 00:24:21,Fixed compilation error under Windows
ed1049c,2010-01-16 01:16:10,Fixed errors in manual
338729a,2010-01-19 18:08:38,Chris begged me to check this in  so this adds the missing OPENMM_EXPORT to the Cuda platform's registerPlatforms method.
7c26b1c,2010-01-19 18:23:42,"Preemptively added OPENMM_EXPORT to registerPlatforms() declaration of OpenCL platform  for the day when we try it on Windows. Added ""-isysroot /Developer/SDKs/MacOSX10.5.sdk -mmacosx-version-min=10.5"" to Mac compile flags  to possibly help run on Leopard."
f2f2959,2010-01-19 19:16:11,Fixed a compilation error caused by another recent CMake change
0707390,2010-01-20 21:01:29,
6c54253,2010-01-20 21:58:49,Created OpenCL sorting algorithm
3a38084,2010-01-21 19:35:53,Added #include <cstdlib> to header files so would work with gcc 4.4.2.  Also changed includes of stdlib.h and string.h to cstdlib.h and cstring.h
b1a2221,2010-01-26 22:39:07,Implemented PME for OpenCL platform
a5e3869,2010-01-27 19:40:59,Fixed thread synchronization bug
9c1a266,2010-01-27 22:06:24,Fixed thread synchronization bug
7c22f61,2010-01-28 00:31:35,Turn off default building of NML plugin  especially while I move the plugin to its own project. This change might also simplify pyopenmm nightly test issues.
e856650,2010-01-28 01:46:23,Changed default nvcc flags to support compute level 2.0
0cb8777,2010-01-28 23:30:11,Bug fix
db44ff5,2010-01-28 23:39:17,Fixed incorrect nvcc flags
881df1a,2010-01-29 01:49:22,Created CustomAngleForce  including reference implementation
99aad67,2010-01-29 23:14:19,Created CUDA version of CustomAngleForce
eac5097,2010-01-29 23:15:47,Yet another fix to nvcc flags
4af689c,2010-01-30 00:08:04,Created OpenCL version of CustomAngleForce
bce0513,2010-01-30 01:32:25,Created CustomTorsionForce  including reference implementation
35c6714,2010-02-02 01:23:49,Created CUDA implementation of CustomTorsionForce
a072c11,2010-02-02 18:30:16,Created OpenCL implementation of CustomTorsionForce
d0bf8a0,2010-02-02 21:47:00,Updated to allow compilation in both float & double Code surrounding 'RealOpenMMType == 0' will be removed once confirmed free-energy plugin code does not break
08a1414,2010-02-02 22:17:55,Inactivated blocks '#if RealOpenMMType == 2' Associated code will be removed once confirmed deletions do not break builds
160a491,2010-02-03 20:23:28,Reference platform uses double precision
44b2629,2010-02-03 20:23:50,Fixed bug in AndersenThermostat
c29a332,2010-02-04 18:06:53,Removed methods w/ hardwired float definitions
f6b12a6,2010-02-04 23:58:21,Custom force mods
96db6b1,2010-02-05 00:29:11,Bug fix in CustomAngleForce
cd8bf0f,2010-02-05 21:50:28,Windows complains about ambiguity is pow() arguments now that we are using double
74c3def,2010-02-06 00:10:03,Implemented CCMA for OpenCL platform
82554f1,2010-02-06 00:16:58,Increased the tolerance on two tests that started failing when we switched the reference platform to double precision
a37f4b7,2010-02-06 01:07:03,Throw an exception if the cutoff distance is greater than half the box size (bug 1023)
55873e4,2010-02-08 17:16:14,Created separate windows export macro for Cuda plugin. Exported some symbols from Cuda plugin  for use by external NML plugin.   cudaOpenMMInitializeIntegration  gpuSetConstants  CudaPlatform   (but I couldn't figure out how to export kGenerateRandoms) Also turned off TestRandomCuda on Windows  since it always fails and makes the dashboard look bad. Renamed InitializeIntegration method to cudaOpenMMInitializeIntegration  now that symbol is being exported.
62b6681,2010-02-08 19:32:21,Cast exponent in pow() function to RealOpenMM  to avoid overload ambiguity error on Windows when RealOpenMM is defined as double.
0a5680a,2010-02-09 19:39:15,Added in Cuda FreeEnergy plugin CUDA_INCLUDE_DIRECTORIES entry to find windowsExportCuda.h. Still doesn't build on windows  but might help with linux (todo next)
7009952,2010-02-09 23:51:49,Accumulation of Born force was incorrect in USE_OUTPUT_BUFFER_PER_WARP block w/ cell coordinates  x != y
e0821a8,2010-02-10 01:31:16,Removed some obsolete code
a34610d,2010-02-10 18:33:44,BrownianIntegrator scales the friction coefficient by the mass
65d94e0,2010-02-10 18:45:11,Removed reference to a file that doesn't exist anymore
7443cea,2010-02-10 18:56:33,Added an include that was required by some compilers
d20a82d,2010-02-10 19:19:01,Export symbol gpuSetPeriodicBoxSize for Cuda FreeEnergy plugin on windows. Turn default to ON for nightly building Cuda FreeEnergy plugin  since it is desired for pyopenmm release.
5be64ea,2010-02-10 19:25:36,Remove NML plugin subtree.
d88141d,2010-02-10 19:31:21,Added support for exporting validation methods for Window's builds
172f875,2010-02-10 19:40:25,Updated manual for 1.1.
16ea7c7,2010-02-11 01:14:29,Test cases which may occasionally fail say so in the error message.
b91b946,2010-02-12 19:28:53,Updated entries in validation tables
f61903c,2010-02-12 19:36:01,Generated PDF for updated user guide
83889f1,2010-02-19 01:32:54,Added some cmake to avoid running CUDA tests on non-gpu machines. So far tested only on GPU-having windows machine.
c6ccb34,2010-02-19 02:02:14,Corrected to avoid CUDA tests when cuda-enabled GPU is not present on Windows
bb64d13,2010-02-19 17:28:11,Less debugging messages when building GPU sniffer.
9fbbe18,2010-02-19 19:43:10,Avoid doing CudaFreeEnergy tests when no cuda GPU is available. Export CudaFreeEnergyKernelFactory symbols to avoid link error in test program.
140081e,2010-02-23 19:47:05,Implemented CustomHbondForce  including reference implementation.
036c3ff,2010-02-23 21:34:41,Bug fix (bug 1051)
6109242,2010-02-23 22:33:46,"Modified Cuda FreeEnergy plugin to use a different windows export macro than main openmm library and cuda library. Modified CUDA_NVCC_FLAGS to be consistent with Peter's latest version in all three locations they are defined. Added ""-Xcompiler '/MD'"" to CUDA_NVCC_FLAGS on Windows to avoid link error in Cuda FreeEnergy plugin."
8d0d1d1,2010-02-24 16:15:38,Downgraded recent cmake changes to ghastly compliance with cmake 2.4  for the benefit of the simtk dart server.
cdec19f,2010-03-03 00:38:20,Bug fix: fields were not being initialized
00b5aa4,2010-03-04 21:25:17,Bug fixes
45c2313,2010-03-05 01:40:28,Increased number of thread blocks
be137f9,2010-03-05 22:17:39,Redesigned CustomHbondForce to be more general
ef7ce02,2010-03-09 18:30:49,Changed std::fabs to std::abs in AssertionUtilities.h to avoid compile ambiguity error on Windows with TestReferenceCustomHbondForce
18ee451,2010-03-11 21:58:04,Change Fortran wrapper building script (wrappers/FortranWrapper_Header.xslt) to add line breaks between function and subroutine arguments.  This was needed to keep lines under 132 characters in length
80c69c9,2010-03-12 23:41:57,Added collinear atoms test
a409f0e,2010-03-19 20:36:59,Update thread counts for Fermi-board
734d5d6,2010-03-22 16:50:21,
c85128a,2010-03-22 21:17:48,
2f1c953,2010-03-22 21:33:45,
2b581bf,2010-03-22 23:20:04,Makes Fermi more less work...
26bf988,2010-03-23 17:29:39,Added static target
6c47fdc,2010-03-24 00:27:21,Comment back in ccma loop
8196dbf,2010-03-24 00:28:00,Removed staticTarget
